排名	球隊	出賽	勝場	敗場	和場	連勝	勝率	打率	防率	得率	本打	盜壘	失誤
冠軍	興農牛隊	140	95	41	4	11	.698	.263	2.56	5.3	272	2	17
2	年代勇士	140	94	42	4	11	.691	.251	2.40	4.6	205	4	22
3	誠泰Cobras	140	85	50	5	5	.629	.254	2.81	4.2	189	8	16
4	三商虎隊	140	83	53	4	6	.610	.259	3.15	4.4	168	4	5
5	時報鷹隊	140	35	102	3	2	.255	.221	4.43	1.9	42	123	25
6	兄弟象隊	140	18	122	0	2	.128	.215	5.94	1.8	46	35	66

排名	球隊	出賽	勝場	敗場	和場	連勝	勝率	打率	防率	得率	本打	盜壘	失誤
冠軍	俊國熊隊	140	86	51	3	7	.627	.244	2.87	4.1	198	5	10
2	Lamigo桃猿	140	74	60	6	7	.552	.245	3.01	3.9	198	17	10
3	統一獅隊	140	65	68	7	6	.488	.248	4.15	3.9	153	72	21
4	生活雷公	140	65	71	4	8	.477	.237	3.44	3.4	158	8	17
5	味全龍隊	140	58	77	5	5	.429	.247	3.98	3.5	151	34	10
6	中信鯨隊	140	57	78	5	3	.422	.230	3.92	2.9	106	24	15
